BL_blood_of_ares_desc;[GetAresMarsName], [GetHellenicPagan_Greek_Roman] god of war, represents the physical and violent aspects of war, as opposed to the strategy of his sister [GetAthenaMinervaName]. In battle, before him ride is sons [GetPhobosTimorusName] and [GetDeimosFormidoName] - Fear and Dread.;;;;;;;;;;;;x;
BL_blood_of_hermes;Blood of [GetHermesMercuryName];;;;;;;;;;;;x;
BL_blood_of_hermes_desc;[GetHermesMercuryName] is the [GetHellenicPagan_Greek_Roman] messenger of the gods and son of [GetZeusJupiterName]. [GetHermesMercuryName] is also the patron of thieves and a divine trickster, outwitting other gods for the sake of humanity or his own amusement.;;;;;;;;;;;;x;
BL_blood_of_apollo;Blood of [GOD_APOLLO];;;;;;;;;;;;x;
BL_blood_of_apollo;[GOD_APOLLO], leader of the Muses, is the god of music, prophecy, healing, plague, light, and poetry, giver of laws, protector of the young, and patron of both doctors and herdsmen.;;;;;;;;;;;;x;
BOTG_Sky;Blood of [GetCaelusUranusName];;;;;;;;;;;;x;
BOTG_Sky_desc;[GetCaelusUranusName], primal god of the sky, hated the children born to him by [GetGaiaTerraName] and imprisoned them in Tartatus, where they brought pain to [GetGaiaTerraName] until he was castrated by his son, [GetKronosSaturnName].;;;;;;;;;;;;x;
BOTG_Time;Blood of [GetKronosSaturnName];;;;;;;;;;;;x;
BOTG_Time;After castrating his father [GetCaelusUranusName], [GetKronosSaturnName] feared that he too would be overthrown by his offspring and ate them, save his youngest, [GetZeusJupiterName], who was hidden from him.;;;;;;;;;;;;x;
bloodline_effect_strategist;Increased chance of commanders having the §GStrategist§! trait;;;;;;;;;;;;x;
bloodline_effect_better_physicians;Improve more rapidly as a §GCourt Physician§! and recuit higher quality §GCourt Physicians§!;;;;;;;;;;;;x;
TT_Blood_of_the_gods;Has trait §YBlood of the Gods§! of a §YDivine Bloodline§!;;;;;;;;;;;;x;
String_blood_of_the_religion_gods;Blood of the [From.Religion.GetName] Gods;;;;;;;;;;;;x;
